kind,blue,red,seed,game,durationSeconds,kills,firstKillSeconds,firstKillSource,winner,endReason,baseReturn,baseDefense,grubs,herald,heraldCharges,initialBlue,initialRed,finalBlue,finalRed,draftIdentity,outputHash,executionSeconds
fresh,T1,KRX,91008023,1,2290,24,60,SKIRMISH,RED,NEXUS_DESTROYED,55,2,3,1,3,DIVE,POKE_SIEGE,PICK_CONTROL,POKE_SIEGE,60cf4c52bd35e525c083873b3e770b71a3a6b113515add218ce42a5f776ed5e2,e04396c95bd802c967de710b827552e435af091db38856c4cd6c438b10ce0eb6,5.501
fresh,T1,KRX,91008037,1,1680,8,580,OBJECTIVE_FIGHT,BLUE,NEXUS_DESTROYED,10,0,3,1,3,POKE_SIEGE,POKE_SIEGE,POKE_SIEGE,POKE_SIEGE,9996358b1c8057161f46e43b7ccb161a2f164c86310e254c961c6594365e3d56,c970c73319c9600a47fd4c829aca609039bb862aa39fb3ad15c29ef225fe9509,5.555
fresh,T1,KRX,91008051,1,1580,17,240,ROAM,RED,NEXUS_DESTROYED,20,1,1,0,0,POKE_SIEGE,DIVE,POKE_SIEGE,DIVE,88cb1fc9cbf3d0e4e87c2d7f0bcb01e27e1463dca9184b0603085b356f760344,856a2830fd487b7726e134aac7bfd96b450242ffe96bce9fedb1cac903bca08b,5.418
fresh,T1,KRX,91008067,1,1690,10,60,SKIRMISH,BLUE,NEXUS_DESTROYED,14,0,1,1,3,DIVE,PICK_CONTROL,DIVE,PICK_CONTROL,cc5c5f0524521d0e406d9bb96f5669f29988cd86717573885ab552925b4adac0,f6c7621db0a03eff3aed1397b3ec6cc7c7cba02dca125b9e11ad2b1fe75df6a9,4.845
fresh,T1,KRX,91008081,1,2080,27,160,SKIRMISH,BLUE,NEXUS_DESTROYED,60,4,3,1,3,POKE_SIEGE,POKE_SIEGE,FRONT_TO_BACK,POKE_SIEGE,0bcb1970278bdeda4024a1b95b2210b22c142c3a4c893f7e507907fe60270999,27c7923da4c8dc8ddf11c5ba7c7600dee81497edfa8c42b2be8996e5522c67b7,6.547
fresh,T1,KRX,91008097,1,1920,25,140,SKIRMISH,BLUE,NEXUS_DESTROYED,11,1,3,1,1,POKE_SIEGE,POKE_SIEGE,POKE_SIEGE,POKE_SIEGE,9b1e8392bd820621e45273df8091d414cd5151ac948edbad0cf09a8801c21617,e0ae83c0cdba523b2102cb5e56745e0753baa67da9945f32a803290410cec6f3,5.251
fresh,T1,KRX,91008113,1,2290,38,210,SKIRMISH,BLUE,NEXUS_DESTROYED,47,7,3,1,3,DIVE,POKE_SIEGE,DIVE,FRONT_TO_BACK,a6138e29fab55b46ad534b406f8cb591582e91d5b6b2c37f750c2853b52c9322,ee1e3194fa686e52fafc1c905657c87d3980d8f748bf79601130b340664f311a,5.218
fresh,KRX,T1,91008011,1,1490,16,250,SKIRMISH,RED,NEXUS_DESTROYED,25,1,3,1,1,POKE_SIEGE,POKE_SIEGE,PICK_CONTROL,POKE_SIEGE,cae95e222d29bc701e64815d3cc36814b19ffe7d56f3918418758371a0667073,e177bd801295c601570209b0d8c9fccd1ee873c4b0058c7f31680660c5f8cc23,6.148
fresh,KRX,T1,91008023,1,1760,21,60,SKIRMISH,RED,NEXUS_DESTROYED,32,3,3,1,1,POKE_SIEGE,PICK_CONTROL,FRONT_TO_BACK,PICK_CONTROL,07bda8c565c5d6a9f3b70d0f93ddefa74fa8c2536ff79356421815914a980e47,fb2dda008525ba5e5c5ff03d8712be8b1f9b8e3756a85cc12242c1ab6e7efb35,6.574
fresh,KRX,T1,91008037,1,1660,12,570,SKIRMISH,RED,NEXUS_DESTROYED,35,4,3,1,1,POKE_SIEGE,POKE_SIEGE,FRONT_TO_BACK,PICK_CONTROL,e53a7a6854ea2ca44399a2d1c84b9208ea6df1534552ce7e0bb7936ae7407b55,ac21fd26e1ee5de1b1f47181bffb7975f3d6755a300e3fe524f20450db75cb27,5.424
fresh,KRX,T1,91008051,1,1940,36,240,ROAM,RED,NEXUS_DESTROYED,25,0,3,0,0,PICK_CONTROL,POKE_SIEGE,FRONT_TO_BACK,POKE_SIEGE,ee90612d0179ac520289cf460af2724e9ac69d42efae4609c93fcdaf72b24547,83b7b9d0687265aa74b6bb0c09d6a8ac1a192f300c17da6daeadc34e77a1b0e2,5.389
fresh,KRX,T1,91008067,1,2300,34,60,SKIRMISH,RED,NEXUS_DESTROYED,48,6,3,1,1,PICK_CONTROL,DIVE,PICK_CONTROL,FRONT_TO_BACK,f7a6674d0b943b10b337fd637c0250fb5501452b00c0a73277865b27a3734919,3b638a28bde67405ab1b4ee7c96ba03ee58010e36b193f8c2b0b7627bbe6ae4c,5.45
fresh,KRX,T1,91008081,1,2000,9,160,SKIRMISH,BLUE,NEXUS_DESTROYED,40,2,3,1,3,POKE_SIEGE,PICK_CONTROL,PICK_CONTROL,PICK_CONTROL,ea18228118f2b40d29b9775cfb0e7e20b21694c5c4a827de2ee7e61c289b0ab1,565954a09c82d831b3ceb509d594215fc12b21d283bc21b5926736daacdddb20,5.273
fresh,KRX,T1,91008097,1,1370,18,140,SKIRMISH,RED,NEXUS_DESTROYED,30,4,3,1,1,POKE_SIEGE,POKE_SIEGE,POKE_SIEGE,FRONT_TO_BACK,cf802925cec9d982fcce20577485873ad45eab9c24637221655b9dfc4e6a9743,8cc943a5b8a0a37b7d243afcf058f02385f2a90c7e39988e17af736022e447cc,5.446
fresh,KRX,T1,91008113,1,1390,11,210,SKIRMISH,RED,NEXUS_DESTROYED,25,2,3,1,3,POKE_SIEGE,FRONT_TO_BACK,POKE_SIEGE,FRONT_TO_BACK,16a03285e26db8c03dda51c5aff7c82cf70d2463f19387c0b5bbc47fbbe1e43e,97c045f1896c871290eefb9089e528adb1c09f1fef65fab2e863967edc2cfab5,5.124
fearless5,T1,GEN,92008001,1,2140,23,180,LANE_COMBAT,RED,NEXUS_DESTROYED,21,2,3,1,3,PICK_CONTROL,PICK_CONTROL,PICK_CONTROL,PICK_CONTROL,f0d78158dbbad96e2ca88c73d037d3c7a6397797dab93b0e0f5d8c96ef2d76ad,49cd74a134787eb1074fa74b438bf993b45da84b72250a418d3838e201674dce,6.004
fearless5,GEN,T1,92008002,2,1640,16,130,SKIRMISH,RED,NEXUS_DESTROYED,18,1,2,1,3,PICK_CONTROL,POKE_SIEGE,PICK_CONTROL,POKE_SIEGE,7e6b6f003f3185a0373e921e7e8ae19feee56f365c3e7360a71f3c43a60be3cc,7d82c4d59842c94a2ebdf313e18e95e2503df656f50e864977ea9eadabe7721b,4.961
fearless5,T1,GEN,92008003,3,1900,18,170,SKIRMISH,BLUE,NEXUS_DESTROYED,32,2,3,1,3,DIVE,PICK_CONTROL,DIVE,FRONT_TO_BACK,4a0dcbc912512fe8c403bb0732369ff229ed7db19f783c7499f3780b54a0681a,23cdeed08c38ad5508798a72049f6fb33eb5cf62026ce2ae12ac79b2fb724cb4,5.368
fearless5,GEN,T1,92008004,4,1850,22,90,SKIRMISH,BLUE,NEXUS_DESTROYED,34,3,3,1,3,POKE_SIEGE,POKE_SIEGE,POKE_SIEGE,POKE_SIEGE,5e1686d6362b9dc66bf368cac7aa920d755c080a29c7c4d45a20cc829d7bb491,67912f59a6cb245d68f0604659a1e54675c95e7c62029c7aa3cb763caaa4e0aa,5.558
fearless5,T1,GEN,92008005,5,1720,30,110,SKIRMISH,BLUE,NEXUS_DESTROYED,27,2,3,1,1,DIVE,POKE_SIEGE,FRONT_TO_BACK,FRONT_TO_BACK,b514d0341bce8f5af74f093a509c32672458d97912bd9714757cfc7ec2da79c2,d9e6c44c2d6c883748c5708744cc2c3929751dd5359d0ade5f041233053235fd,8.33
fearless5,DK,KT,92008001,1,1920,14,180,LANE_COMBAT,BLUE,NEXUS_DESTROYED,22,3,2,1,1,POKE_SIEGE,DIVE,POKE_SIEGE,DIVE,4f0304518e3b722da70537e74c32aa349a56f242615f9cc4f26991708f1b7c87,7ac7cefe3e18e46fc5fdfec940a816a82ec7b4c77319cecaf980c8e67d177017,7.483
fearless5,KT,DK,92008002,2,1250,11,130,SKIRMISH,RED,NEXUS_DESTROYED,33,1,2,1,3,PICK_CONTROL,POKE_SIEGE,PICK_CONTROL,DIVE,46331d0f1c6c32f2dff08310915bc8a47915697fbee1bb6d1d361aa6eaff604d,b670cb29711c4f9f95b060a4a6641cdf2374ef01182de6c64450c824e954a295,6.142
fearless5,DK,KT,92008003,3,1790,24,170,SKIRMISH,RED,NEXUS_DESTROYED,27,6,3,1,3,DIVE,POKE_SIEGE,FRONT_TO_BACK,POKE_SIEGE,cb750d1d664547583c2003a82d5e72777ca50d05b5e038503bf9847897f336e5,7de4ec1efd0dcac249ebc99e79e1f609edbe3bb20d287f97168cc2b720f113c6,7.39
fearless5,KT,DK,92008004,4,1660,21,90,SKIRMISH,BLUE,NEXUS_DESTROYED,23,1,3,0,0,POKE_SIEGE,POKE_SIEGE,FRONT_TO_BACK,POKE_SIEGE,14a207f1fb418bb7264764cc954eb201b6c9e50982cd8720f94a4d5ed31d6b16,6898004652ee65ab32add75e223fa44e7eb707f548b17a087d25e483ff7f1968,6.813
fearless5,DK,KT,92008005,5,2540,33,110,SKIRMISH,RED,NEXUS_DESTROYED,68,5,3,1,3,POKE_SIEGE,POKE_SIEGE,POKE_SIEGE,PICK_CONTROL,0828ecff4fd5af07fd8c0b5d3878cd4efc978339c03384f5fd41e2f103226fa2,fc9f43fa41b067dccb27cadfee77517cfb03ba02f29e96ed3acad80ec9b6b8ed,6.349
