kind,blue,red,game,seed,durationSeconds,duration,winner,kills,firstBloodSeconds,loserAlive,blueLineup_TOP_JG_MID_ADC_SUP,redLineup_TOP_JG_MID_ADC_SUP,blueBans,redBans,exclusionCount,bluePreferredPlan,redPreferredPlan,inputHash,outputHash,draftIdentity
fresh,T1,KRX,1,91008081,2180,36:20,RED,25,220,3,rumble / nocturne / cassiopeia / varus / seraphine,jayce / poppy / azir / ezreal / neeko,vi|jarvan-iv|wukong|xin-zhao|ambessa,camille|nautilus|orianna|alistar|rakan,0,PICK_CONTROL,POKE_SIEGE,f092544f4cebfb62f3a8ceb3998068ca9deee8c1e901fa12625ac207add3c0a9,c5a113a0eca97fbc4c60173260d264e2376d860a843036a282b514aa6de6aba0,3c919b347122b6ff3db5f24aa062a955707ed4e7aa17ba6946e8292e95229b0c
fresh,T1,KRX,1,91008097,1570,26:10,BLUE,13,60,5,varus / xin-zhao / galio / ezreal / neeko,rumble / naafiri / orianna / ziggs / bard,camille|vi|jarvan-iv|rell|alistar,nautilus|nocturne|poppy|azir|ryze,0,PICK_CONTROL,PICK_CONTROL,b6c79a16e906c8cdf5f670e2ca619e5eeec09ad03f98ba502eb10dcf02c81947,27c9210e45be7bd10af3cd5b9552b424aecea6368e33d05d2755e34eba310281,9ee40f0d7b44fcefa58b322b0d221d94a58e417ea20bc8b605b3c3b4a8bc7c93
fresh,T1,KRX,1,91008113,2420,40:20,BLUE,27,20,4,rumble / naafiri / orianna / varus / seraphine,poppy / pantheon / azir / mel / bard,vi|camille|wukong|ksante|ezreal,nautilus|xin-zhao|jarvan-iv|lee-sin|nocturne,0,POKE_SIEGE,PICK_CONTROL,281185ee8a69c321b24b61bf3d14dce039c24558c833d75f8f0c2d4ea4759f73,b6a39a01f60f2b83ddd22e7b177605f8b05b8411777088230799f300914aa609,2b1f548a08a33bcba973fb651d927c6b69e1a86543502aef0e7a95b1bb8fd80d
fresh,KRX,T1,1,91008011,2320,38:40,RED,29,30,5,jayce / xin-zhao / ryze / varus / neeko,rumble / poppy / orianna / ezreal / bard,camille|jarvan-iv|nocturne|alistar|rell,vi|nautilus|ambessa|cassiopeia|gnar,0,PICK_CONTROL,PICK_CONTROL,cf3b24de928465eca14a3c05957a4acabb51e41203bf049604aded94efe6202d,37ee705e0f73a9c8dc9b464589ffee3788a8beabaf572c4085f95328342d94ff,a7e3f3e5ce2c5ba70b378d22e6cbfaf89c5efafc88321a736d1c35c5103bd610
fresh,KRX,T1,1,91008023,1750,29:10,BLUE,17,40,2,rumble / xin-zhao / cassiopeia / varus / seraphine,jayce / poppy / orianna / ezreal / shen,camille|nocturne|nautilus|ksante|gnar,vi|wukong|jarvan-iv|ahri|azir,0,POKE_SIEGE,POKE_SIEGE,995400c4a1e0b4a8c4879f5cc0f23aa2484fec305a0aae28a81a526cc94be55c,c248c49232b1c137f262a9b73aeaf46018e3306b5f47244539de0d5e773ae710,6d06b3ad801cbe8816ca9d91868a84980bb20c1fdfe76740912a46006bb1b59e
fresh,KRX,T1,1,91008037,1410,23:30,RED,14,140,5,jayce / xin-zhao / orianna / ziggs / poppy,rumble / naafiri / ryze / varus / neeko,vi|nocturne|wukong|jarvan-iv|azir,camille|nautilus|ambessa|gnar|alistar,0,PICK_CONTROL,PICK_CONTROL,2e69bd847a0b009e7151f144e226fa9d7b34af8850d3cd841399c5cc9d30132a,42866446d2f5a905edab45d45121b98a22fd38c2c303f0183ee8dd0927863201,6de6eaeb2f1bfa35aa78d2c50a028c10b50f6cbc1830cf36afc1ef00b6580570
fresh,KRX,T1,1,91008051,1930,32:10,RED,18,110,5,rumble / xin-zhao / cassiopeia / varus / seraphine,jayce / poppy / orianna / ezreal / neeko,vi|nautilus|nocturne|gnar|lee-sin,camille|jarvan-iv|wukong|rell|alistar,0,PICK_CONTROL,POKE_SIEGE,f4865ed62744a46fa2871fb080051281b447b8a9d4467eded31a45e61a061ced,e255c6decf498c8c9b99af4a274c431400add58817fbd0789c425a8ef82a0a26,354510c55754424e3d16d634b1a25da6471ea98eba1e66f394075f4613c65d83
fresh,KRX,T1,1,91008067,2140,35:40,BLUE,25,40,5,jayce / poppy / orianna / ziggs / karma,rumble / xin-zhao / syndra / varus / neeko,camille|nocturne|wukong|azir|cassiopeia,vi|nautilus|jarvan-iv|ambessa|rakan,0,POKE_SIEGE,PICK_CONTROL,6fc2cf8cdeb3314ba9e450b339eec0635ef6838ebcea1c0032941d76670c3387,21c60dea1283bca79de814108244abed8c20ed98ea855f9b39692820bd0a9dd5,eb6542d8fe192f817fb633d93cab785698b3b3132a87a048f40c1be1a88ee743
fresh,KRX,T1,1,91008081,2090,34:50,RED,20,220,5,rumble / jarvan-iv / anivia / varus / neeko,jayce / poppy / orianna / mel / bard,camille|nocturne|rakan|ambessa|gnar,vi|nautilus|wukong|rell|azir,0,PICK_CONTROL,PICK_CONTROL,0f1fb76c928497eafaebbe2f728b42913dfe7bffdfef404dbd6f6bfbcf43ef81,9f6968d20f6f97d1f156675ed5817c6f8b151f34d521e98fd93ad34247b5cb5e,b677649213129e3929aa617c0a6f19c35a818e63e03327de70673bb6558edb77
fresh,KRX,T1,1,91008097,2340,39:00,BLUE,23,60,2,rumble / xin-zhao / cassiopeia / varus / poppy,gnar / jayce / orianna / yunara / neeko,nocturne|camille|rakan|ambessa|sion,vi|nautilus|jarvan-iv|rell|ryze,0,PICK_CONTROL,POKE_SIEGE,8733331673e65a448af04485294144555a5f23ff173f5382f40790c8363a9edf,2a58d37730b82ecea44943c98b0a9ad5587418a0b635c2c105bdeb44d845df74,6720b72cc46cbfdddd5c4184949d75a406c51927daabfabcd7d335f6eea74341
fresh,KRX,T1,1,91008113,2840,47:20,RED,28,20,5,jayce / poppy / orianna / ziggs / karma,rumble / xin-zhao / ryze / varus / neeko,vi|nautilus|nocturne|syndra|cassiopeia,camille|jarvan-iv|wukong|rakan|rell,0,POKE_SIEGE,PICK_CONTROL,7edb40e05bb9c2e8412157547e140e22ad6f4d600b17ca7b3c3a95ce69f05453,13d6b192cf7978be9b70cf8473ecaf3d7f9df94d8ad6cd072583b4beaa6d6b1f,7c5347b3cd6161649277b205ca3b7dbadbe3ab6204ff098424bfba71b279d82b
fearless5,T1,GEN,1,92008001,2580,43:00,RED,33,180,2,varus / lee-sin / ryze / ezreal / neeko,rumble / xin-zhao / orianna / ziggs / bard,camille|jarvan-iv|nocturne|rakan|rell,vi|nautilus|poppy|syndra|azir,0,PICK_CONTROL,PICK_CONTROL,5a6376f0a64f1847353ef04f834c902e41e6f68252f100b47f30c84ef743c9af,13d142c951a2d70713f12a5e1c5d9e5ee6c295748e1104e5eba0c378779a7b88,7b7ee2766096f0cb73dccb4e03783163ce99d758c365e9edfdedda75b3a22101
fearless5,GEN,T1,2,92008002,1700,28:20,RED,16,190,5,jayce / pantheon / azir / ashe / seraphine,sion / nocturne / anivia / yunara / alistar,camille|nautilus|poppy|mel|syndra,vi|ambessa|gnar|jarvan-iv|rakan,10,POKE_SIEGE,PICK_CONTROL,0d1f8b787acbd869068bd5695e5b36623069636983937bae337368ca8736ac89,1e15330edb88a1442bfe9108e7cda089f43d161becda7278adb7680cb0548075,2ea5102a2b77e97d86e398f41c92e36adfbf28663ebc1fe4d23b751e5157753d
fearless5,T1,GEN,3,92008003,1490,24:50,RED,14,60,5,renekton / jarvan-iv / syndra / mel / karma,gnar / naafiri / galio / jhin / rakan,poppy|camille|ambessa|cassiopeia|sylas,vi|nautilus|shen|ksante|rell,20,PICK_CONTROL,DIVE,d857eed46c2e6c234e68db6f20217cd54cc40c52433379cc11d7fdc0f554a335,8af85b2dddab90c6f50003e8cce9d89751f061ad733489e17eee18f46706f9f3,17da1de66ac84012809040b4941e1c6160880a3674f1e3037942f02e4280aa01
fearless5,GEN,T1,4,92008004,3080,51:20,BLUE,36,230,3,ksante / sejuani / cassiopeia / corki / renata-glasc,olaf / wukong / ahri / sivir / nami,camille|nautilus|rell|lucian|kaisa,vi|poppy|shen|maokai|braum,30,PICK_CONTROL,DIVE,9bd611ea6a9533b6b08a8c3aa254a9b3300db46d350d3eee1105dcc43b7a31e0,54ff7f105971028ba7fd66884010a59f0b1e2f549429acbdbedccfc5cba5aa11,df64378aee91d210b852cd9892f5d00e760a625e4c3d62119c0227ef0b4ddf20
fearless5,T1,GEN,5,92008005,1560,26:00,RED,16,90,5,ambessa / viego / taliyah / caitlyn / thresh,zaahen / maokai / viktor / lucian / rell,poppy|camille|yone|jax|ornn,nautilus|vi|shen|skarner|qiyana,40,DIVE,PICK_CONTROL,2c3c6e31b47c8409f87dc3e8124e134a370c688bfbe9ed3778631610ab17edf9,48de4e6a2849fe53402e948c37ed86f03b58426ce8d1b79e257bfcf784862b4d,e71da254f46e47304137a1754edc4b0ccefb31d19363b2c44fb5013270b48c2a
fearless5,DK,KT,1,92008001,1980,33:00,BLUE,29,180,2,jayce / nocturne / orianna / ziggs / poppy,rumble / lee-sin / cassiopeia / varus / seraphine,vi|camille|jarvan-iv|pantheon|azir,nautilus|wukong|xin-zhao|shen|rakan,0,PICK_CONTROL,PICK_CONTROL,edbf58f9742c3a4422bee0dba494c219b418f183843f0aa00a75e8d8882fcb86,5ae2b798d2711d17213f8baf3c930a0f1c6b1fcde680a67118745c62eb6bb180,2d553282d1e3d32bc9625eaced13862c3ed08050db21c08fad5834ff76174e0d
fearless5,KT,DK,2,92008002,2020,33:40,RED,31,190,5,anivia / sejuani / syndra / ezreal / bard,gnar / pantheon / azir / mel / karma,camille|vi|xin-zhao|kaisa|ashe,nautilus|jarvan-iv|rakan|naafiri|wukong,10,POKE_SIEGE,POKE_SIEGE,1cef70f2c333dc2f5973c186a8db3b81958ab37f79787aa87780f4cca6a9cfa2,82aa546ce414f0e3d0a11709dc9b176733d91796a74000f671c1b66130a04eed,7f743e6e8a61d7f40f98b18271c9159b9a2adb17eec3f758470e1e69262711ed
