scenario,time,side,position,n,avgLevel,p10,p50,p90,avgXp,avgGold,starting,component,first,second,third,fourth,full,levelPower,itemPower,totalPower
A,2400,RED,JUNGLE,17,15.647059,15,16,16,14952.352941,11379.647059,0,0,0,5,12,0,0,1.757647,2.285294,4.042941
A,2400,RED,MID,17,16.882353,16,17,18,17065.294118,12280.235294,0,0,0,2,11,4,0,1.905882,2.655882,4.561765
A,2400,RED,SUPPORT,17,15.294118,15,15,16,14415.529412,7037.882353,0,0,8,9,0,0,0,1.715294,1.273529,2.988824
A,2400,RED,TOP,17,17.000000,17,17,17,17458.823529,12477.882353,0,0,0,1,15,1,0,1.920000,2.550000,4.470000
A,300,BLUE,ADC,1000,4.386000,4,4,5,1722.016000,1250.650000,518,482,0,0,0,0,0,0.406320,0.120500,0.526820
A,300,BLUE,JUNGLE,1000,4.916000,5,5,5,1840.470000,1107.950000,740,260,0,0,0,0,0,0.469920,0.065000,0.534920
A,300,BLUE,MID,1000,5.036000,5,5,5,2160.320000,1264.350000,509,491,0,0,0,0,0,0.484320,0.122750,0.607070
A,300,BLUE,SUPPORT,1000,4.452000,4,4,5,1758.236000,537.000000,996,4,0,0,0,0,0,0.414240,0.001000,0.415240
A,300,BLUE,TOP,1000,5.030000,5,5,5,2142.660000,1231.890000,572,428,0,0,0,0,0,0.483600,0.107000,0.590600
A,300,RED,ADC,1000,4.406000,4,4,5,1725.632000,1260.020000,504,496,0,0,0,0,0,0.408720,0.124000,0.532720
A,300,RED,JUNGLE,1000,4.921000,5,5,5,1842.510000,1109.250000,738,262,0,0,0,0,0,0.470520,0.065500,0.536020
A,300,RED,MID,1000,5.035000,5,5,5,2152.930000,1252.750000,515,485,0,0,0,0,0,0.484200,0.121250,0.605450
A,300,RED,SUPPORT,1000,4.444000,4,4,5,1759.492000,537.600000,998,2,0,0,0,0,0,0.413280,0.000500,0.413780
A,300,RED,TOP,1000,5.031000,5,5,5,2145.700000,1235.560000,563,437,0,0,0,0,0,0.483720,0.109250,0.592970
A,600,BLUE,ADC,1000,6.954000,7,7,7,3451.906000,2616.355000,0,990,10,0,0,0,0,0.714480,0.256000,0.970480
A,600,BLUE,JUNGLE,1000,7.018000,7,7,7,3666.960000,2325.965000,0,1000,0,0,0,0,0,0.722160,0.250000,0.972160
A,600,BLUE,MID,1000,7.957000,8,8,8,4300.070000,2634.505000,0,991,9,0,0,0,0,0.834840,0.255400,1.090240
