scenario,context,count,bluePower,redPower,signedEdge,absEdge,signedContribution,absContribution,p50,p90,p95,max,positive,negative,zero,clamp,participants,shareAvg,shareP50,shareP90,shareP95,shareMax,shareOverOneRate,levelContribution,itemContribution,itemRatio,levelRatio,goldContribution,sameDirection,oppositeDirection,bothNonzero,goldOnly,itemOnly,both,correlation
B,ROAM,1378,0.887302,0.847827,0.039475,0.139144,0.027633,0.097401,0.084000,0.210000,0.266000,0.633500,0.461538,0.361393,0.177068,0,3.612482,0.224750,0.036177,0.195605,0.470909,33.432808,0.033382,0.001260,0.026373,0.954409,0.045591,0.412346,0.864984,0.135016,0.661103,462,4,911,0.644881
B,GENERIC_SKIRMISH,33425,1.710398,1.635361,0.075037,0.206710,0.063782,0.175703,0.064600,0.532100,0.673200,3.697500,0.483052,0.340194,0.176754,0,9.635064,0.000601,0.000221,0.001700,0.002165,0.033077,0.000000,0.000693,0.063089,0.989131,0.010869,0.000000,0.000000,0.000000,0.000000,0,20023,0,0.000000
B,TEAMFIGHT,2292,2.394347,2.280948,0.113399,0.293214,0.113399,0.293214,0.184000,0.760000,0.864000,1.580000,0.545375,0.363438,0.091187,0,9.435864,0.005301,0.002462,0.007442,0.011864,1.200000,0.000436,-0.000092,0.113490,0.999193,0.000807,5.201859,0.904375,0.095625,0.698080,692,0,1600,0.834246
B,OBJECTIVE_FIGHT,1050,1.900157,1.808562,0.091595,0.218563,0.091595,0.218563,0.098000,0.630000,0.784000,1.576000,0.519048,0.346667,0.134286,0,9.770476,0.007221,0.002641,0.012898,0.023326,0.629630,0.000000,0.000339,0.091256,0.996298,0.003702,3.783343,0.894659,0.105341,0.641905,374,1,674,0.854498
B,LATE_GAME_SIEGE,584,2.364275,2.258499,0.105775,0.270541,0.105775,0.270541,0.184000,0.672000,0.808000,1.184000,0.525685,0.385274,0.089041,0,9.695205,0.006318,0.002383,0.007283,0.010575,0.669388,0.000000,0.001192,0.104583,0.988733,0.011267,5.387175,0.940722,0.059278,0.664384,196,0,388,0.832986
B,BASE_DEFENSE,2097,2.831870,2.696693,0.135177,0.434456,0.135177,0.434456,0.388000,0.856000,0.976000,1.790000,0.547926,0.430138,0.021936,0,9.568431,0.003978,0.002930,0.006529,0.009334,0.188235,0.000000,0.001103,0.134073,0.991837,0.008163,5.826853,0.946749,0.053251,0.850739,313,0,1784,0.889863
B_MIRROR,LANE_COMBAT,1366,0.824524,0.866962,-0.042438,0.095220,-0.025463,0.057132,0.000000,0.180000,0.360000,0.432000,0.147877,0.251830,0.600293,0,2.670571,0.085175,0.000000,0.115878,0.202610,15.966670,0.007321,-0.000843,-0.024619,0.966879,0.033121,-0.451830,0.932927,0.067073,0.240117,1026,0,328,0.554806
B_MIRROR,JUNGLE_GANK,1402,0.835544,0.878868,-0.043324,0.088550,-0.028160,0.057557,0.039000,0.195000,0.234000,0.468000,0.213980,0.375178,0.410842,0,4.667618,0.036630,0.012556,0.085195,0.148000,1.529566,0.002853,-0.002244,-0.025917,0.920316,0.079684,-0.467802,0.895928,0.104072,0.315264,956,2,442,0.509022
B_MIRROR,COUNTER_GANK,84,0.840298,0.858393,-0.018095,0.080040,-0.013571,0.060030,0.045000,0.155000,0.270000,0.450000,0.214286,0.345238,0.440476,0,4.690476,0.070185,0.018455,0.134460,0.328862,0.937500,0.000000,-0.001071,-0.012500,0.921053,0.078947,-0.314980,0.892857,0.107143,0.333333,56,0,28,0.599916
B_MIRROR,ROAM,695,0.851748,0.880707,-0.028959,0.143314,-0.020271,0.100320,0.085167,0.210000,0.297500,0.549500,0.391367,0.463309,0.145324,0,3.618705,0.210594,0.038213,0.215833,0.398462,22.505733,0.031655,0.001350,-0.021621,0.941245,0.058755,-0.383681,0.859213,0.140787,0.694964,210,0,483,0.637711
